,bbl,RS_Unit_Count,legacy_properties_all_rs,legacy_properties_0_35_pct_rs,legacy_properties_35_89_pct_rs,legacy_properties_90_pct_plus_rs,programmatic_properties,govt_subsidized_income_restricted_rs,mixed_income_rs
191,1001740010,4.0,1,0,1,0,0,0,0
196,1001780016,1.0,0,0,0,0,0,0,0
199,1001790032,3.0,0,0,0,0,0,0,0
202,1001877503,1.0,1,1,0,0,0,0,0
204,1001890033,1.0,1,1,0,0,0,0,0
205,1001890034,3.0,1,0,1,0,0,0,0
208,1001897508,1.0,1,1,0,0,0,0,0
213,1001930028,8.0,1,0,0,1,0,0,0
214,1001940032,2.0,1,1,0,0,0,0,0
215,1001950005,3.0,1,0,1,0,0,0,0
217,1001990002,17.0,0,0,0,0,1,1,0
218,1001990003,11.0,1,1,0,0,0,0,0
219,1001990005,15.0,1,0,0,1,0,0,0
220,1001990007,24.0,1,0,0,1,0,0,0
221,1001990011,7.0,1,0,1,0,0,0,0
222,1001990012,7.0,1,0,1,0,0,0,0
223,1001990013,18.0,1,0,1,0,0,0,0
224,1001990017,7.0,1,0,1,0,0,0,0
225,1001990018,6.0,1,0,1,0,0,0,0
226,1001990019,19.0,1,0,1,0,0,0,0
227,1001990020,7.0,1,0,1,0,0,0,0
228,1001990021,17.0,1,0,0,1,0,0,0
230,1001990024,18.0,1,0,0,1,0,0,0
231,1001990031,11.0,1,0,1,0,0,0,0
232,1001990032,5.0,1,0,1,0,0,0,0
234,1002000005,12.0,1,0,0,1,0,0,0
235,1002000006,15.0,1,0,1,0,0,0,0
237,1002000010,1.0,1,1,0,0,0,0,0
238,1002000011,6.0,1,0,1,0,0,0,0
239,1002000019,6.0,1,0,1,0,0,0,0
240,1002000020,9.0,1,0,1,0,0,0,0
241,1002000022,16.0,1,0,0,1,0,0,0
242,1002000024,16.0,1,0,1,0,0,0,0
244,1002000027,12.0,1,0,1,0,0,0,0
245,1002000028,2.0,1,1,0,0,0,0,0
246,1002000029,13.0,1,0,1,0,0,0,0
247,1002000030,3.0,1,1,0,0,0,0,0
248,1002000031,1.0,1,1,0,0,0,0,0
249,1002000033,17.0,1,0,1,0,0,0,0
250,1002010001,30.0,1,0,0,1,0,0,0
251,1002010002,6.0,1,0,0,1,0,0,0
252,1002010007,9.0,1,0,1,0,0,0,0
253,1002010008,14.0,1,0,1,0,0,0,0
254,1002010009,15.0,1,0,0,1,0,0,0
255,1002010010,15.0,1,0,0,1,0,0,0
256,1002010014,10.0,1,0,1,0,0,0,0
257,1002010027,8.0,1,0,1,0,0,0,0
258,1002010029,20.0,1,0,0,1,0,0,0
260,1002010032,8.0,1,0,1,0,0,0,0
261,1002010033,10.0,1,0,1,0,0,0,0
262,1002010034,15.0,1,0,1,0,0,0,0
263,1002020002,5.0,1,1,0,0,0,0,0
265,1002027501,2.0,0,0,0,0,0,0,0
266,1002030010,51.0,1,0,1,0,0,0,0
267,1002030015,37.0,1,0,1,0,0,0,0
268,1002030016,3.0,1,0,1,0,0,0,0
270,1002040004,5.0,1,0,1,0,0,0,0
271,1002040005,24.0,1,0,0,1,0,0,0
272,1002050004,9.0,1,1,0,0,0,0,0
273,1002050006,15.0,1,0,0,1,0,0,0
274,1002050007,15.0,1,0,0,1,0,0,0
276,1002050011,2.0,1,1,0,0,0,0,0
277,1002050018,6.0,1,1,0,0,0,0,0
278,1002050019,5.0,1,0,1,0,0,0,0
279,1002050020,5.0,1,0,1,0,0,0,0
280,1002050021,13.0,1,0,0,1,0,0,0
281,1002050022,9.0,1,0,0,1,0,0,0
282,1002050023,3.0,1,1,0,0,0,0,0
283,1002050024,16.0,1,0,1,0,0,0,0
284,1002060004,7.0,1,1,0,0,0,0,0
285,1002060005,7.0,1,1,0,0,0,0,0
286,1002060012,20.0,1,0,0,1,0,0,0
287,1002060013,6.0,1,0,1,0,0,0,0
288,1002060016,1.0,1,1,0,0,0,0,0
291,1002060021,4.0,1,1,0,0,0,0,0
292,1002060022,1.0,1,1,0,0,0,0,0
293,1002060023,3.0,1,0,1,0,0,0,0
294,1002070012,1.0,1,1,0,0,0,0,0
295,1002070013,6.0,1,0,1,0,0,0,0
296,1002070014,8.0,1,0,0,1,0,0,0
300,1002100005,6.0,1,0,1,0,0,0,0
303,1002140002,6.0,1,0,1,0,0,0,0
304,1002140026,7.0,1,0,1,0,0,0,0
307,1002230027,7.0,1,0,1,0,0,0,0
311,1002290006,1.0,1,1,0,0,0,0,0
313,1002300009,5.0,1,0,1,0,0,0,0
319,1002350005,4.0,1,0,1,0,0,0,0
322,1002350016,20.0,1,0,0,1,0,0,0
325,1002360026,7.0,1,0,1,0,0,0,0
326,1002360030,2.0,1,1,0,0,0,0,0
328,1002360032,18.0,1,0,0,1,0,0,0
329,1002360033,38.0,1,0,0,1,0,0,0
331,1002370011,2.0,1,1,0,0,0,0,0
332,1002370012,22.0,1,0,1,0,0,0,0
334,1002370019,3.0,1,0,1,0,0,0,0
336,1002370022,7.0,1,0,1,0,0,0,0
337,1002370023,7.0,1,0,1,0,0,0,0
338,1002370024,7.0,1,0,1,0,0,0,0
339,1002370025,5.0,1,1,0,0,0,0,0
340,1002370026,11.0,1,0,1,0,0,0,0
341,1002370027,2.0,1,1,0,0,0,0,0
342,1002370028,19.0,1,0,1,0,0,0,0
343,1002370029,13.0,1,0,1,0,0,0,0
344,1002370032,12.0,1,0,1,0,0,0,0
345,1002370033,8.0,1,0,1,0,0,0,0
346,1002370034,8.0,1,0,1,0,0,0,0
347,1002370035,3.0,1,0,1,0,0,0,0
348,1002370036,9.0,1,0,1,0,0,0,0
349,1002380004,15.0,1,0,1,0,0,0,0
350,1002380012,16.0,1,0,0,1,0,0,0
351,1002380013,5.0,1,0,1,0,0,0,0
352,1002380014,8.0,1,0,1,0,0,0,0
354,1002380021,17.0,1,0,1,0,0,0,0
355,1002380023,25.0,1,0,0,1,0,0,0
356,1002380027,29.0,1,0,1,0,0,0,0
357,1002380035,13.0,1,0,1,0,0,0,0
358,1002380036,11.0,1,0,1,0,0,0,0
359,1002380037,16.0,1,0,0,1,0,0,0
360,1002380038,14.0,1,0,1,0,0,0,0
361,1002380040,28.0,1,0,0,1,0,0,0
362,1002390008,23.0,1,0,0,1,0,0,0
363,1002390010,23.0,1,0,0,1,0,0,0
364,1002390011,9.0,1,0,1,0,0,0,0
365,1002390012,46.0,1,0,1,0,0,0,0
368,1002440040,124.0,0,0,0,0,1,1,0
369,1002470001,490.0,0,0,0,0,1,1,0
370,1002480015,198.0,0,0,0,0,1,1,0
371,1002487501,205.0,0,0,0,0,1,0,1
372,1002710037,3.0,1,1,0,0,0,0,0
373,1002710039,15.0,1,0,1,0,0,0,0
374,1002710042,20.0,1,0,0,1,0,0,0
375,1002710043,20.0,1,0,0,1,0,0,0
376,1002710044,20.0,1,0,0,1,0,0,0
377,1002710045,17.0,1,0,1,0,0,0,0
378,1002710046,19.0,1,0,1,0,0,0,0
379,1002710047,15.0,1,0,0,1,0,0,0
380,1002710048,38.0,1,0,1,0,0,0,0
381,1002710050,7.0,1,0,1,0,0,0,0
382,1002710051,19.0,1,0,0,1,0,0,0
383,1002710052,24.0,1,0,0,1,0,0,0
384,1002710053,13.0,1,0,1,0,0,0,0
385,1002710054,20.0,1,0,0,1,0,0,0
386,1002710059,2.0,1,1,0,0,0,0,0
387,1002710061,7.0,1,0,1,0,0,0,0
388,1002710064,20.0,1,0,0,1,0,0,0
389,1002710065,19.0,1,0,0,1,0,0,0
390,1002730017,24.0,0,0,0,0,1,1,0
391,1002730019,13.0,1,0,1,0,0,0,0
392,1002730020,6.0,1,1,0,0,0,0,0
393,1002730023,15.0,1,0,0,1,0,0,0
394,1002730024,18.0,1,0,0,1,0,0,0
395,1002737501,2.0,1,1,0,0,0,0,0
396,1002740003,12.0,1,0,1,0,0,0,0
397,1002740004,9.0,1,0,1,0,0,0,0
398,1002740013,3.0,1,1,0,0,0,0,0
399,1002740014,11.0,1,0,1,0,0,0,0
400,1002740038,8.0,1,0,1,0,0,0,0
401,1002750001,15.0,1,0,0,1,0,0,0
402,1002750020,33.0,1,0,0,1,0,0,0
403,1002750025,8.0,1,0,0,1,0,0,0
404,1002750027,7.0,1,0,1,0,0,0,0
405,1002760003,13.0,1,0,1,0,0,0,0
406,1002760004,16.0,1,0,0,1,0,0,0
407,1002760006,17.0,1,0,1,0,0,0,0
408,1002760007,18.0,1,0,1,0,0,0,0
409,1002760009,16.0,1,0,0,1,0,0,0
410,1002760010,18.0,1,0,0,1,0,0,0
411,1002760011,17.0,1,0,0,1,0,0,0
412,1002760012,8.0,1,0,0,1,0,0,0
413,1002760014,23.0,1,0,1,0,0,0,0
415,1002760021,4.0,1,0,1,0,0,0,0
416,1002760022,15.0,1,0,0,1,0,0,0
418,1002760028,7.0,1,0,0,1,0,0,0
419,1002760030,8.0,1,0,0,1,0,0,0
420,1002760031,10.0,1,0,0,1,0,0,0
422,1002760033,13.0,1,0,1,0,0,0,0
423,1002760034,4.0,1,1,0,0,0,0,0
425,1002760036,19.0,1,0,0,1,0,0,0
427,1002760040,22.0,0,0,0,0,0,0,0
428,1002760042,22.0,1,0,0,1,0,0,0
429,1002760046,20.0,1,0,0,1,0,0,0
431,1002760048,14.0,1,0,1,0,0,0,0
432,1002760052,29.0,1,0,0,1,0,0,0
433,1002760053,7.0,1,0,1,0,0,0,0
434,1002760054,15.0,1,0,0,1,0,0,0
435,1002760055,16.0,1,0,0,1,0,0,0
436,1002760056,15.0,1,0,1,0,0,0,0
